dataset,operacion,tipo_arista,medida,valor_antes,valor_despues,delta
GraphIP,quitar,hub,outDegreeCentrality,0.00170602,0.00170436,-1.66279e-06
GraphIP,quitar,hub,inDegreeCentrality,0.00170602,0.00170436,-1.66279e-06
GraphIP,quitar,hub,closeness,0.0470198,0.0468447,-0.000175103
GraphIP,quitar,hub,betweenness,4.86118e-05,4.9643e-05,1.03119e-06
GraphIP,quitar,hub,pageRank,0.00128866,0.00128866,-1.95156e-18
GraphIP,quitar,hub,averageShortestPath,2.63509,2.66977,0.0346846
GraphIP,quitar,hub,eccentricity,0.166237,0.166237,0
GraphIP,quitar,hub,localClusteringCoeff,0.0420765,0.0420765,0
GraphIP,quitar,periferica,outDegreeCentrality,0.00170602,0.00170436,-1.66279e-06
GraphIP,quitar,periferica,inDegreeCentrality,0.00170602,0.00170436,-1.66279e-06
GraphIP,quitar,periferica,closeness,0.0470198,0.0457311,-0.00128866
GraphIP,quitar,periferica,betweenness,4.86118e-05,4.86118e-05,0
GraphIP,quitar,periferica,pageRank,0.00128866,0.00128866,1.84314e-17
GraphIP,quitar,periferica,averageShortestPath,2.63509,2.63521,0.000118159
GraphIP,quitar,periferica,eccentricity,0.166237,0.164948,-0.00128866
GraphIP,quitar,periferica,localClusteringCoeff,0.0420765,0.0420765,0
GraphIP,quitar,aleatoria,outDegreeCentrality,0.00170602,0.00170436,-1.66279e-06
GraphIP,quitar,aleatoria,inDegreeCentrality,0.00170602,0.00170436,-1.66279e-06
GraphIP,quitar,aleatoria,closeness,0.0470198,0.0470177,-2.09208e-06
GraphIP,quitar,aleatoria,betweenness,4.86118e-05,4.85388e-05,-7.30423e-08
GraphIP,quitar,aleatoria,pageRank,0.00128866,0.00128866,3.05745e-17
GraphIP,quitar,aleatoria,averageShortestPath,2.63509,2.63547,0.000379453
GraphIP,quitar,aleatoria,eccentricity,0.166237,0.166237,0
GraphIP,quitar,aleatoria,localClusteringCoeff,0.0420765,0.0420765,1.15151e-08
GraphIP,agregar,hub,outDegreeCentrality,0.00170602,0.00170768,1.66279e-06
GraphIP,agregar,hub,inDegreeCentrality,0.00170602,0.00170768,1.66279e-06
GraphIP,agregar,hub,closeness,0.0470198,0.0470208,9.94778e-07
GraphIP,agregar,hub,betweenness,4.86118e-05,4.85989e-05,-1.28898e-08
GraphIP,agregar,hub,pageRank,0.00128866,0.00128866,-4.77049e-18
GraphIP,agregar,hub,averageShortestPath,2.63509,2.63466,-0.000433557
GraphIP,agregar,hub,eccentricity,0.166237,0.166237,0
GraphIP,agregar,hub,localClusteringCoeff,0.0420765,0.0428151,0.000738663
GraphProteinas,quitar,hub,outDegreeCentrality,0.00521137,0.00521136,-7.11236e-09
GraphProteinas,quitar,hub,inDegreeCentrality,0.00521137,0.00521136,-7.11236e-09
GraphProteinas,quitar,hub,closeness,0.329889,0.329889,0
GraphProteinas,quitar,hub,betweenness,0.000173818,0.000173818,1.21973e-18
GraphProteinas,quitar,hub,pageRank,8.43313e-05,8.43313e-05,-3.93023e-19
GraphProteinas,quitar,hub,averageShortestPath,3.06149,3.06149,0
GraphProteinas,quitar,hub,eccentricity,5.71724,5.71724,0
GraphProteinas,quitar,hub,localClusteringCoeff,0,0,0
GraphProteinas,quitar,periferica,outDegreeCentrality,0.00521137,0.00521136,-7.11236e-09
GraphProteinas,quitar,periferica,inDegreeCentrality,0.00521137,0.00521136,-7.11236e-09
GraphProteinas,quitar,periferica,closeness,0.329889,0.329867,-2.14115e-05
GraphProteinas,quitar,periferica,betweenness,0.000173818,0.000173798,-2.08986e-08
GraphProteinas,quitar,periferica,pageRank,8.43313e-05,8.43313e-05,3.65918e-19
GraphProteinas,quitar,periferica,averageShortestPath,3.06149,3.06141,-7.3986e-05
GraphProteinas,quitar,periferica,eccentricity,5.71724,5.71665,-0.000590319
GraphProteinas,quitar,periferica,localClusteringCoeff,0,0,0
GraphProteinas,quitar,aleatoria,outDegreeCentrality,0.00521137,0.00521136,-7.11236e-09
GraphProteinas,quitar,aleatoria,inDegreeCentrality,0.00521137,0.00521136,-7.11236e-09
GraphProteinas,quitar,aleatoria,closeness,0.329889,0.329888,-1.04514e-08
GraphProteinas,quitar,aleatoria,betweenness,0.000173818,0.000173818,7.19875e-12
GraphProteinas,quitar,aleatoria,pageRank,8.43313e-05,8.43313e-05,-1.6263e-19
GraphProteinas,quitar,aleatoria,averageShortestPath,3.06149,3.06149,8.53771e-08
GraphProteinas,quitar,aleatoria,eccentricity,5.71724,5.71724,0
GraphProteinas,quitar,aleatoria,localClusteringCoeff,0,0,0
GraphProteinas,agregar,hub,outDegreeCentrality,0.00521137,0.00521138,7.11236e-09
GraphProteinas,agregar,hub,inDegreeCentrality,0.00521137,0.00521138,7.11236e-09
GraphProteinas,agregar,hub,closeness,0.329889,0.329892,3.52883e-06
GraphProteinas,agregar,hub,betweenness,0.000173818,0.000173816,-2.65394e-09
GraphProteinas,agregar,hub,pageRank,8.43313e-05,8.43313e-05,-1.21973e-19
GraphProteinas,agregar,hub,averageShortestPath,3.06149,3.06146,-3.14757e-05
GraphProteinas,agregar,hub,eccentricity,5.71724,5.71724,0
GraphProteinas,agregar,hub,localClusteringCoeff,0,5.38436e-07,5.38436e-07
GraphProteinas,agregar,periferica,outDegreeCentrality,0.00521137,0.00521138,7.11236e-09
GraphProteinas,agregar,periferica,inDegreeCentrality,0.00521137,0.00521138,7.11236e-09
GraphProteinas,agregar,periferica,closeness,0.329889,0.329892,3.60193e-06
GraphProteinas,agregar,periferica,betweenness,0.000173818,0.000173816,-2.8549e-09
GraphProteinas,agregar,periferica,pageRank,8.43313e-05,8.43313e-05,8.13152e-20
GraphProteinas,agregar,periferica,averageShortestPath,3.06149,3.06145,-3.38591e-05
GraphProteinas,agregar,periferica,eccentricity,5.71724,5.71715,-8.43313e-05
GraphProteinas,agregar,periferica,localClusteringCoeff,0,1.11974e-06,1.11974e-06
GraphProteinas,agregar,aleatoria,outDegreeCentrality,0.00521137,0.00521138,7.11236e-09
GraphProteinas,agregar,aleatoria,inDegreeCentrality,0.00521137,0.00521138,7.11236e-09
GraphProteinas,agregar,aleatoria,closeness,0.329889,0.329893,4.28184e-06
GraphProteinas,agregar,aleatoria,betweenness,0.000173818,0.000173815,-3.66596e-09
GraphProteinas,agregar,aleatoria,pageRank,8.43313e-05,8.43313e-05,2.84603e-19
GraphProteinas,agregar,aleatoria,averageShortestPath,3.06149,3.06144,-4.34783e-05
GraphProteinas,agregar,aleatoria,eccentricity,5.71724,5.71715,-8.43313e-05
GraphProteinas,agregar,aleatoria,localClusteringCoeff,0,1.86759e-06,1.86759e-06
