dataset,medida,repeticion,valor
GraphIP,vertices,0,776
GraphIP,aristas,0,1026
GraphIP,construccion_ms,0,800.506
GraphIP,memoria_delta_KB,0,384
GraphProteinas,vertices,0,11858
GraphProteinas,aristas,0,732720
GraphProteinas,construccion_ms,0,362.388
GraphProteinas,memoria_delta_KB,0,18244
GraphIP,outDegreeCentrality,0,7e-05
GraphIP,outDegreeCentrality,1,3e-05
GraphIP,outDegreeCentrality,2,3e-05
GraphIP,outDegreeCentrality,3,3e-05
GraphIP,outDegreeCentrality,4,3e-05
GraphIP,outDegreeCentrality,5,2e-05
GraphIP,outDegreeCentrality,6,3e-05
GraphIP,outDegreeCentrality,7,3e-05
GraphIP,outDegreeCentrality,8,3e-05
GraphIP,outDegreeCentrality,9,3e-05
GraphIP,inDegreeCentrality,0,0.004799
GraphIP,inDegreeCentrality,1,0.001943
GraphIP,inDegreeCentrality,2,0.001563
GraphIP,inDegreeCentrality,3,0.001503
GraphIP,inDegreeCentrality,4,0.001483
GraphIP,inDegreeCentrality,5,0.001473
GraphIP,inDegreeCentrality,6,0.001433
GraphIP,inDegreeCentrality,7,0.001443
GraphIP,inDegreeCentrality,8,0.001423
GraphIP,inDegreeCentrality,9,0.001443
GraphIP,closeness,0,1.40041
GraphIP,closeness,1,1.26024
GraphIP,closeness,2,1.20867
GraphIP,closeness,3,1.24199
GraphIP,closeness,4,1.22574
GraphIP,closeness,5,1.2458
GraphIP,closeness,6,1.31405
GraphIP,closeness,7,1.23543
GraphIP,closeness,8,1.22431
GraphIP,closeness,9,1.22734
GraphIP,betweenness,0,2.81358
GraphIP,betweenness,1,2.73339
GraphIP,betweenness,2,2.69325
GraphIP,betweenness,3,2.68358
GraphIP,betweenness,4,2.64765
GraphIP,betweenness,5,2.62296
GraphIP,betweenness,6,3.32583
GraphIP,betweenness,7,2.81533
GraphIP,betweenness,8,2.69592
GraphIP,betweenness,9,2.59234
GraphIP,pageRank,0,0.052911
GraphIP,pageRank,1,0.054183
GraphIP,pageRank,2,0.054414
GraphIP,pageRank,3,0.054273
GraphIP,pageRank,4,0.054784
GraphIP,pageRank,5,0.054254
GraphIP,pageRank,6,0.054554
GraphIP,pageRank,7,0.054163
GraphIP,pageRank,8,0.054414
GraphIP,pageRank,9,0.054263
GraphIP,averageShortestPath,0,0.950226
GraphIP,averageShortestPath,1,0.872769
GraphIP,averageShortestPath,2,0.858452
GraphIP,averageShortestPath,3,0.872819
GraphIP,averageShortestPath,4,0.918597
GraphIP,averageShortestPath,5,0.866488
GraphIP,averageShortestPath,6,0.852842
GraphIP,averageShortestPath,7,0.912845
GraphIP,averageShortestPath,8,0.87303
GraphIP,averageShortestPath,9,0.892176
GraphIP,eccentricity,0,1.38105
GraphIP,eccentricity,1,1.37331
GraphIP,eccentricity,2,1.35418
GraphIP,eccentricity,3,1.36042
GraphIP,eccentricity,4,1.37912
GraphIP,eccentricity,5,1.31559
GraphIP,eccentricity,6,1.34746
GraphIP,eccentricity,7,1.40075
GraphIP,eccentricity,8,1.3363
GraphIP,eccentricity,9,1.40199
GraphIP,localClusteringCoeff,0,0.208486
GraphIP,localClusteringCoeff,1,0.190532
GraphIP,localClusteringCoeff,2,0.176566
GraphIP,localClusteringCoeff,3,0.204118
GraphIP,localClusteringCoeff,4,0.191474
GraphIP,localClusteringCoeff,5,0.178319
GraphIP,localClusteringCoeff,6,0.175975
GraphIP,localClusteringCoeff,7,0.171186
GraphIP,localClusteringCoeff,8,0.16828
GraphIP,localClusteringCoeff,9,0.168039
GraphProteinas,outDegreeCentrality,0,8e-05
GraphProteinas,outDegreeCentrality,1,3e-05
GraphProteinas,outDegreeCentrality,2,3e-05
GraphProteinas,outDegreeCentrality,3,3e-05
GraphProteinas,outDegreeCentrality,4,3e-05
GraphProteinas,outDegreeCentrality,5,3e-05
GraphProteinas,outDegreeCentrality,6,3e-05
GraphProteinas,outDegreeCentrality,7,3e-05
GraphProteinas,outDegreeCentrality,8,3e-05
GraphProteinas,outDegreeCentrality,9,3e-05
GraphProteinas,inDegreeCentrality,0,8e-05
GraphProteinas,inDegreeCentrality,1,3e-05
GraphProteinas,inDegreeCentrality,2,3e-05
GraphProteinas,inDegreeCentrality,3,3e-05
GraphProteinas,inDegreeCentrality,4,2e-05
GraphProteinas,inDegreeCentrality,5,3e-05
GraphProteinas,inDegreeCentrality,6,2e-05
GraphProteinas,inDegreeCentrality,7,3e-05
GraphProteinas,inDegreeCentrality,8,3.1e-05
GraphProteinas,inDegreeCentrality,9,3e-05
GraphProteinas,closeness,0,34362.1
GraphProteinas,closeness,1,35190.7
GraphProteinas,closeness,2,34280.1
GraphProteinas,closeness,3,35577.3
GraphProteinas,closeness,4,33579.4
GraphProteinas,closeness,5,35462.1
GraphProteinas,closeness,6,33536.2
GraphProteinas,closeness,7,35851.9
GraphProteinas,closeness,8,31213.7
GraphProteinas,closeness,9,32757.5
GraphProteinas,betweenness,0,133323
GraphProteinas,betweenness,1,138736
GraphProteinas,betweenness,2,139394
GraphProteinas,betweenness,3,148247
GraphProteinas,betweenness,4,144043
GraphProteinas,betweenness,5,142555
GraphProteinas,betweenness,6,139263
GraphProteinas,betweenness,7,140384
GraphProteinas,betweenness,8,139265
GraphProteinas,betweenness,9,127668
GraphProteinas,pageRank,0,130.265
GraphProteinas,pageRank,1,130.08
GraphProteinas,pageRank,2,130.755
GraphProteinas,pageRank,3,134.122
GraphProteinas,pageRank,4,130.911
GraphProteinas,pageRank,5,131.329
GraphProteinas,pageRank,6,132.857
GraphProteinas,pageRank,7,130.53
GraphProteinas,pageRank,8,130.241
GraphProteinas,pageRank,9,130.677
GraphProteinas,averageShortestPath,0,30268.2
GraphProteinas,averageShortestPath,1,30332.3
GraphProteinas,averageShortestPath,2,30624.8
GraphProteinas,averageShortestPath,3,30090.1
GraphProteinas,averageShortestPath,4,30221.6
GraphProteinas,averageShortestPath,5,30194.5
GraphProteinas,averageShortestPath,6,38533.6
GraphProteinas,averageShortestPath,7,38427.9
GraphProteinas,averageShortestPath,8,37264.1
GraphProteinas,averageShortestPath,9,33484.9
GraphProteinas,eccentricity,0,34317.8
GraphProteinas,eccentricity,1,35454.2
GraphProteinas,eccentricity,2,36845.9
GraphProteinas,eccentricity,3,38359.4
GraphProteinas,eccentricity,4,41346.8
GraphProteinas,eccentricity,5,39317.5
GraphProteinas,eccentricity,6,34069.5
GraphProteinas,eccentricity,7,37701.3
GraphProteinas,eccentricity,8,37409.6
GraphProteinas,eccentricity,9,41965.7
GraphProteinas,localClusteringCoeff,0,6178.16
GraphProteinas,localClusteringCoeff,1,4021.91
GraphProteinas,localClusteringCoeff,2,3643.52
GraphProteinas,localClusteringCoeff,3,5500.71
GraphProteinas,localClusteringCoeff,4,5352.5
GraphProteinas,localClusteringCoeff,5,4893.29
GraphProteinas,localClusteringCoeff,6,4681.13
GraphProteinas,localClusteringCoeff,7,5132.02
GraphProteinas,localClusteringCoeff,8,5782.14
GraphProteinas,localClusteringCoeff,9,5238.07
